word,category,priority
你好,问候,1
谢谢,问候,1
对不起,问候,1
没关系,问候,1
再见,问候,1
你好吗,问候,1
认识你,问候,2
欢迎,问候,2
我,人称,1
你,人称,1
他,人称,1
她,人称,1
我们,人称,1
他们,人称,2
一,数字,1
二,数字,1
三,数字,1
四,数字,1
五,数字,1
六,数字,2
七,数字,2
八,数字,2
九,数字,2
十,数字,2
爸爸,家庭,1
妈妈,家庭,1
哥哥,家庭,1
姐姐,家庭,1
弟弟,家庭,2
妹妹,家庭,2
吃,动作,1
喝,动作,1
睡,动作,1
走,动作,1
跑,动作,1
坐,动作,1
站,动作,1
看,动作,1
好,形容词,1
坏,形容词,1
大,形容词,1
小,形容词,1
多,形容词,1
少,形容词,1
学校,场景,1
医院,场景,1
家,场景,1
工作,场景,1
帮助,场景,1
喜欢,场景,1
