word,category,priority
你好,问候,1
谢谢,问候,1
再见,问候,1
我,人称,1
你,人称,1
他,人称,1
一,数字,1
二,数字,1
三,数字,1
吃,动作,1
喝,动作,1
走,动作,1
好,形容词,1
大,形容词,1
小,形容词,1
家,场景,1
